priority,type,raw_term,occurrences,style_count,source_count,raw_pom_numbers,variants,example_styles,candidate_1,candidate_1_score,candidate_2,candidate_2_score,candidate_3,candidate_3_score,conflict_key,conflict_observations,warnings,td_action,approved_concept_id,td_notes
LOW,unresolved_term,cup height at center inner bra,1,1,1,6,Cup height at center  - Inner bra,trulysofty__vb30,cup_height_center_front (POM 8),0.711,cup_height (POM 9),0.649,cradle_height_bottom_cup (POM 7),0.435,,,,,,
LOW,unresolved_term,cup height at outer,1,1,1,9,Cup height at outer,selinabra__vb10,cup_height (POM 9),1,cup_height_center_front (POM 8),0.667,cradle_height_bottom_cup (POM 7),0.541,,,,,,
LOW,unresolved_term,cup height inner bra,1,1,1,9,Cup height  - Inner bra,trulysofty__vb30,cup_height (POM 9),1,cup_height_center_front (POM 8),0.486,cradle_height_bottom_cup (POM 7),0.421,,,,,,
LOW,unresolved_term,cup height mesh at center front,1,1,1,7,Cup Height mesh at Center front,lifttiva__vd30,cup_height_center_front (POM 8),0.87,center_front_height (POM 5),0.732,cradle_height_center_front (POM 6),0.694,,,,,,
LOW,unresolved_term,cup heigth at outer,1,1,1,12,Cup heigth at outer,amorafit__vb30,cup_height (POM 9),0.786,cup_width (POM 10),0.519,cup_height_center_front (POM 8),0.5,,,,,,
LOW,unresolved_term,cup width at bottom,1,1,1,9,Cup width at bottom,cleobra__va30,cup_width (POM 10),0.636,back_center_length (POM 12),0.276,,,,,,,,
LOW,unresolved_term,cup width inner bra,1,1,1,10,Cup width  - Inner bra,trulysofty__vb30,cup_width (POM 10),0.935,back_center_length (POM 12),0.276,,,,,,,,
LOW,unresolved_term,inner cup vertical height,1,1,1,15,Inner Cup vertical height,lacygrace__va30,cup_height (POM 9),0.75,cup_height_center_front (POM 8),0.381,cradle_height_bottom_cup (POM 7),0.326,,,,,,
LOW,unresolved_term,inner cup width center to side 1 2,1,1,1,3,Inner Cup width (center to Side 1/2),amylift__vc20,cup_width (POM 10),0.632,back_center_length (POM 12),0.25,,,,,,,,
LOW,unresolved_term,inner cup width center to side seam,1,1,1,3,Inner Cup width (Center to Side seam),glacyhug__va10,cup_width (POM 10),0.6,,,,,,,,,,
LOW,unresolved_term,inner front cradle height at cf,1,1,1,7,Inner front cradle height at CF,aeriefit__vb10,cradle_height_center_front (POM 6),0.816,cradle_height_bottom_cup (POM 7),0.673,cup_height_center_front (POM 8),0.609,,,,,,
LOW,unresolved_term,mesh height at back,1,1,1,13,Mesh height at back,lifttiva__vc20,back_panel_height (POM 13),0.672,back_center_length (POM 12),0.444,,,,,,,,
LOW,unresolved_term,mesh height at top cup,1,1,1,8,Mesh Height at top cup,juliabra__va30,cup_height_center_front (POM 8),0.594,cradle_height_bottom_cup (POM 7),0.564,cup_height (POM 9),0.56,,,,,,
LOW,unresolved_term,mesh height below armhole,1,1,1,10,Mesh height below armhole,liftglowbra__vb30,,,,,,,,,,,,
LOW,unresolved_term,mesh panel height,1,1,1,8,Mesh Panel height,elleshaping__vb30,,,,,,,,,,,,
LOW,unresolved_term,outer cup height at cf,1,1,1,7,Outer cup height at CF,gladyform__va20,cup_height (POM 9),0.867,cup_height_center_front (POM 8),0.684,cradle_height_bottom_cup (POM 7),0.582,,,,,,
LOW,unresolved_term,sling height at cf solid version,1,1,1,8,Sling height at CF ( solid version),fitclara__vb20,cup_height_center_front (POM 8),0.546,cradle_height_center_front (POM 6),0.4,cup_height (POM 9),0.359,,,,,,
LOW,unresolved_term,strap width at joint seam,1,1,1,10,Strap Width at Joint Seam,lacygrace__va30,,,,,,,,,,,,
LOW,unresolved_term,strap width at shoulder seam,1,1,1,11,Strap Width at Shoulder seam,lacygrace__va30,back_center_length (POM 12),0.324,,,,,,,,,,
LOW,unresolved_term,upper center back length,1,1,1,9,Upper Center back length,laralift__vb10,back_center_length (POM 12),0.857,side_seam_length (POM 11),0.303,,,,,,,,
